Sample ID,Melt Spinning Temperature (C),Throughput (GHM),Take-up Speed (m/min),Drawing Temperature (C),Draw Ratio,Draw Ratio Category,T,P,S,D,WP,Denier,Filament Diameter (microns),Force at Break (N),Tenacity (gf/tex),Elongation at Break (%),Young's Modulus (N/mm),Crystallinity (%),Mn (Da),Mw (Da),Polydispersity Index (Mw/Mn),Tex,MW%
1AB1,220,0.3,500,40,1,-1,-1,-1,-1,-1,1,445.5,27.7,2.4,4.94,354.7,3.5,22.83,60979,104942,1.5,49.5,0.125483333
1AA1,220,0.3,500,40,1.05,1,-1,-1,-1,-1,1,437.1,29.2,2.4,5.13,354.7,4,27.11,70034,104942,1.5,48.56666667,0.125483333
1AB2,220,0.3,500,75,2,-1,-1,-1,-1,1,1,198,18.6,3.4,15.83,106.2,2.2,38.69,59913,98847,1.65,22,0.176275
1AA2,220,0.3,500,75,3,1,-1,-1,-1,1,1,151.8,16.7,4.2,25.66,60.7,2.3,56.13,62829,102178,1.63,16.86666667,0.148516667
1BB1,220,0.3,1500,40,1.5,-1,-1,-1,1,-1,2,147,16.1,1.8,11.06,91.2,1.4,26.1,67027,106085,1.58,16.33333333,0.115958333
1BA1,220,0.3,1500,40,2,1,-1,-1,1,-1,2,88.5,15.8,2.9,30.16,36.6,1.1,33.59,70329,103606,1.47,9.833333333,0.136616667
1BB2,220,0.3,1500,75,1.5,-1,-1,-1,1,1,2,90,13.1,3,30.74,41.2,1.1,60.3,55290,95464,1.73,10,0.204466667
1BA2,220,0.3,1500,75,2.1,1,-1,-1,1,1,2,74.2,12.2,2.4,30.23,28.8,1,62.21,57777,101557,1.76,8.244444444,0.153691667
1CB1,220,0.6,500,40,1.75,-1,-1,1,-1,-1,3,890,37.1,3.2,3.31,4,6.3,18.14,63214,105487,1.67,98.88888889,0.120941667
1CA1,220,0.6,500,40,2.5,1,-1,1,-1,-1,3,864.9,41.6,4.3,4.55,5.2,6.8,15.4,64942,103535,1.59,96.1,0.137208333
1CB2,220,0.6,500,75,2.3,-1,-1,1,-1,1,3,317.2,22.7,6.8,19.64,82.4,3.4,41.8,64224,100798,1.57,35.24444444,0.160016667
1CA2,220,0.6,500,75,3.7,1,-1,1,-1,1,3,249.3,21.5,8.6,31.54,54.2,3.2,55.98,60795,102162,1.68,27.7,0.14865
1DB1,220,0.6,1500,40,2.45,-1,-1,1,1,-1,4,299.2,23.1,3.1,9.58,123.8,2.6,28.76,61217,102089,1.67,33.24444444,0.149258333
1DA1,220,0.6,1500,40,3.88,1,-1,1,1,-1,4,292.9,21.7,3.5,10.93,136.6,2.8,23.25,66035,106876,1.62,32.54444444,0.109366667
1DB2,220,0.6,1500,75,1.9,-1,-1,1,1,1,4,164.2,18.6,4.5,25.05,50.8,2.1,52.49,46343,95800,1.72,18.24444444,0.201666667
1DA2,220,0.6,1500,75,2.8,1,-1,1,1,1,4,125.5,14,4.7,34.07,33.3,1.7,56.56,65931,96392,1.46,13.94444444,0.196733333
2AA1,250,0.3,500,40,1,-1,1,-1,-1,-1,5,434.2,28,3.2,6.78,459.9,3.3,22.77,60381,102613,1.7,48.24444444,0.144891667
2AB2,250,0.3,500,75,1.9,-1,1,-1,-1,1,5,231,18.7,3.5,14.01,179.6,2.1,33.57,65808,102477,1.56,25.66666667,0.146025
2AA2,250,0.3,500,75,2.8,1,1,-1,-1,1,5,113.4,15,3.1,24.92,38,1.4,50.4,61884,98506,1.59,12.6,0.179116667
2BB1,250,0.3,1500,40,1.05,-1,1,-1,1,-1,6,144.9,16.7,0.9,5.21,32.5,1.3,31.35,60454,102601,1.7,16.1,0.144991667
2BA1,250,0.3,1500,40,1.38,1,1,-1,1,-1,6,67.5,16.6,0.7,9.28,62.8,0.7,36.68,59897,100593,1.68,7.5,0.161725
2BB2,250,0.3,1500,75,1.3,-1,1,-1,1,1,6,73.3,11.5,2.3,29.03,36.8,1.1,55.77,58418,97019,1.66,8.144444444,0.191508333
2BA2,250,0.3,1500,75,1.7,1,1,-1,1,1,6,55.8,9.6,1.7,27.31,25.2,0.8,56.3,58837,95374,1.62,6.2,0.205216667
2CB1,250,0.6,500,40,1,-1,1,1,-1,-1,7,882.6,40.6,2.5,2.55,10.9,6.6,20.77,60196,103749,1.72,98.06666667,0.135425
2CA1,250,0.6,500,40,1.05,1,1,1,-1,-1,7,891.3,40,2.5,2.55,10.9,6.1,14.6,60196,103749,1.72,99.03333333,0.135425
2CB2,250,0.6,500,75,2.7,-1,1,1,-1,1,7,334.5,25.7,6.3,17.27,124.2,3.2,36.66,68904,101592,1.47,37.16666667,0.1534
2CA2,250,0.6,500,75,4.4,1,1,1,-1,1,7,207.9,20.8,6.5,28.87,41.5,2.8,60.99,62760,99056,1.58,23.1,0.174533333
2DB1,250,0.6,1500,40,1,-1,1,1,1,-1,8,277.2,23.6,3,10.04,192.5,2.4,23.36,58012,96618,1.67,30.8,0.19485
2DA1,250,0.6,1500,40,1.25,1,1,1,1,-1,8,274.8,22.1,3,10.04,147.9,2.3,30.4,58012,96618,1.67,30.53333333,0.19485
2DB2,250,0.6,1500,75,2.13,-1,1,1,1,1,8,168.6,17.5,2,10.75,66.1,1.8,51.57,56137,98793,1.76,18.73333333,0.176725
2DA2,250,0.6,1500,75,3.25,1,1,1,1,1,8,120.3,14.1,3.1,24.02,30.1,1.7,57,65342,100865,1.54,13.36666667,0.159458333
